,index,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ordering,title,region,language,types,attributes,isOriginalTitle,Description
1383,2126,tt0500092,tvMiniSeries,Serial Experiments Lain,Serial Experiments Lain,0,1998,1998,316,"Animation,Drama,Horror",8.1,15465,9,Serial Experiments Lain,IN,en,imdbDisplay,\N,0,An adolescent girl develops a unique connection to a virtual reality network known as The Wired.
1384,2127,tt0756509,tvSeries,Kyle XY,Kyle XY,0,2006,2009,60,"Drama,Mystery,Romance",7.5,30058,38,Kyle XY,IN,en,imdbDisplay,\N,0,"A teenage boy is found wandering, naked and dazed, in traffic. At a nearby youth detention center, authorities discover that this kid -- Kyle -- is a savant who's missing instinctive human behavior like joy, anger and love. Stranger still, he's missing the one thing every mammal has: a belly button. One of the center's psychologists, Natalie Trager, realizes that Kyle needs special attention -- so she brings him home to live with her family. Soon, Kyle starts to investigate his origins ... and some people aren't too happy about it."
1385,2128,tt0756683,movie,The Man from Earth,The Man from Earth,0,2007,\N,87,"Drama,Fantasy,Mystery",7.9,193157,19,The Man from Earth,IN,en,imdbDisplay,\N,0,College professors discuss many topics with a colleague who claims to be thousands of years old.
1386,2129,tt0758737,tvSeries,Brothers & Sisters,Brothers & Sisters,0,2006,2011,60,Drama,7.4,24794,32,Brothers & Sisters,IN,en,imdbDisplay,\N,0,"Mother Nora continues to be the glue that holds the dysfunctional Walker clan together as family members face a variety of challenges. Sarah finds new love with a mysterious Frenchman and learns to accept her father's longtime mistress, Holly Harper. Kevin has found his soul mate in chef Scotty Wandell, and the two are looking into expanding their family through surrogacy. Justin has dealt with his war trauma and started a new course, planning to marry Rebecca and attend medical school. Kitty and Robert work on holding their marriage together as they handle new parenthood in the wake of Robert's gubernatorial campaign. Saul tackles life as an openly gay man while looking after the newest member of the family, Ryan Lafferty. And Tommy has isolated himself from his family, fleeing to Mexico on a personal journey. Still, the loss of family patriarch William continues to affect their lives and decisions."
1387,2131,tt0758745,tvSeries,Friday Night Lights,Friday Night Lights,0,2006,2011,44,"Drama,Sport",8.7,69376,9,Friday Night Lights,IN,en,imdbDisplay,\N,0,"""Friday Night Lights"" centers on the rural town of Dillon, Texas, where winning the state football championship is prized above all else. Coach Eric Taylor guides a high school football team through pressure-filled seasons while dealing with struggles relating to his own family. The interactions between the team members, current and former players, supporters, coaching staff and regular townsfolk address many of the issues facing small-town America."
1388,2132,tt0758751,tvMovie,Grey Gardens,Grey Gardens,0,2009,\N,104,"Biography,Drama",7.4,10831,12,Grey Gardens,IN,en,imdbDisplay,\N,0,"This film explores the daily lives of two aging, eccentric relatives of Jackie Kennedy Onassis. Edie Bouvier Beale and her mother, Edith, are the sole inhabitants of a Long Island estate. During the course of the documentary, they discuss their habits, desires and former loves with filmmakers Albert and David Maysles. The women reveal themselves to be misfits with outsized, engaging personalities. Much of the conversation is centered on their pasts, as mother and daughter now rarely leave home."
1389,2134,tt0758758,movie,Into the Wild,Into the Wild,0,2007,\N,148,"Adventure,Biography,Drama",8.1,637047,43,Into the Wild,IN,en,imdbDisplay,\N,0,"Christopher McCandless (Emile Hirsch), son of wealthy parents (Marcia Gay Harden, William Hurt), graduates from Emory University as a top student and athlete. However, instead of embarking on a prestigious and profitable career, he chooses to give his savings to charity, rid himself of his possessions, and set out on a journey to the Alaskan wilderness."
1390,2135,tt0758766,movie,Music and Lyrics,Music and Lyrics,0,2007,\N,104,"Comedy,Music,Romance",6.5,105324,13,Music and Lyrics,IN,en,imdbDisplay,\N,0,"Former music superstar Alex Fletcher (Hugh Grant) used to pack them in back in the 1980s, but now he is reduced to playing nostalgia tours and county fairs. He scores a chance at a major comeback when reigning pop diva Cora Corman (Haley Bennett) asks him to write a song for her, but he hasn't written anything in years and cannot compose lyrics anyway. Noticing that Sophie (Drew Barrymore), the plant lady, has a way with words, Alex proposes that he and Sophie make beautiful music together."
1391,2136,tt0758774,movie,Body of Lies,Body of Lies,0,2008,\N,128,"Action,Drama,Thriller",7.0,233502,25,Body of Lies,IN,en,imdbDisplay,\N,0,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out."
1392,2137,tt0758790,tvSeries,The Tudors,The Tudors,0,2007,2010,60,"Drama,History,Romance",8.1,77955,2,The Tudors,IN,en,imdbDisplay,\N,0,"This Showtime drama focuses on the early years of King Henry VIII's nearly 40-year reign (1509-1547) of England. The series looks at Henry's famous female companions like Catherine of Aragon and Anne Boleyn and delves into his relationships with important figures like Sir Thomas More, Cardinal Wolsey (head of the Catholic Church of England during its break with Rome) and Charles Brandon, Duke of Suffolk, who was Henry's best friend and unofficial adviser."
1393,2138,tt0760437,tvSeries,Ben 10,Ben 10,0,2005,2008,22,"Action,Adventure,Animation",7.4,23827,14,Ben 10,IN,en,imdbDisplay,\N,0,"Ben Tennyson, a 10-year-old boy, discovers a magical device that can turn him into 10 different alien heroes, each with its own unique abilities. With this newfound power, Ben, Grandpa Max and cousin Gwen help others and stop evildoers - but that doesn't mean he doesn't cause some superpowered kid mischief once and a while."
1394,2139,tt0762073,movie,Thirst,Bakjwi,0,2009,\N,134,"Drama,Fantasy,Horror",7.1,49371,10,Bakjwi,IN,en,imdbDisplay,\N,0,Two couples become increasingly desperate after they wreck their vehicle and become stranded deep in the desert.
1395,2140,tt0765010,movie,Brothers,Brothers,0,2009,\N,105,"Drama,Thriller,War",7.1,136847,41,Brothers,IN,en,imdbDisplay,\N,0,Young Britons consume alcohol and chase women while on vacation.
1396,2141,tt0765120,movie,My Blueberry Nights,My Blueberry Nights,0,2007,\N,95,"Drama,Romance",6.6,55660,32,My Blueberry Nights,IN,en,imdbDisplay,\N,0,"After her boyfriend of five years breaks up with her, Elizabeth (Norah Jones) consoles herself by consuming creamy confections at a sympathetic cafe owner's (Jude Law) eatery. She sets out on a road trip, supporting herself as a waitress along the way. Elizabeth meets a host of interesting characters on her journey, including an alcoholic policeman (David Strathairn), his unfaithful wife (Rachel Weisz), and a gambler (Natalie Portman)."
1397,2142,tt0765425,tvSeries,Top Chef,Top Chef,0,2006,\N,44,"Game-Show,Reality-TV",7.7,6503,13,Top Chef,IN,en,imdbDisplay,\N,0,Aspiring chefs compete for their shot at culinary stardom.
1398,2143,tt0765429,movie,American Gangster,American Gangster,0,2007,\N,157,"Biography,Crime,Drama",7.8,438186,10,American Gangster,IN,en,imdbDisplay,\N,0,"Frank Lucas (Denzel Washington) earns his living as a chauffeur to one of Harlem's leading mobsters. After his boss dies, Frank uses his own ingenuity and strict business code to become one of the inner city's most powerful crime bosses. Meanwhile, veteran cop Richie Roberts (Russell Crowe) senses a change in the mob's power structure and looks for ways to bring his opponent to justice."
1399,2145,tt0765443,movie,Eastern Promises,Eastern Promises,0,2007,\N,100,"Crime,Drama,Thriller",7.6,251685,8,Eastern Promises,IN,en,imdbDisplay,\N,0,"Nikolai (Viggo Mortensen), who is both ruthless and mysterious, has ties to one of the most dangerous crime families in London. He crosses paths with Anna (Naomi Watts), a midwife who has come across potentially damaging evidence against the family, which forces him to set in motion a plan of deceit, death and retribution."
1400,2146,tt0770214,movie,Kabul Express,Kabul Express,0,2006,\N,105,"Adventure,Comedy,Drama",6.8,3607,7,Kabul Express,IN,en,imdbDisplay,\N,0,"In the wake of the 9/11 attacks, Indian reporter Suhel (John Abraham) and his cameraman, Jai (Arshad Warsi), travel across Afghanistan to interview Taliban fighters facing an imminent U.S. invasion. An American photojournalist, Jessica (Linda Arsenio), and a gruff Taliban guide join the Land Rover trek. Petty disputes threaten to derail the group's investigative mission. The absurdity mounts as strangers they meet along the way grow ever stranger in this Bollywood satire that takes aim at war."
1401,2147,tt0770521,tvSeries,Drive,Drive,0,2007,2007,60,"Action,Adventure,Crime",7.7,4947,8,Drive,IN,en,imdbDisplay,\N,0,"That maniac who nearly ran you off the road on your way to work may have been racing for his life. He could have been, say, Alex Tully, a man forced into this illegal and potentially deadly cross-country road race in a desperate bid to locate his missing ex-wife, accompanied by mysterious stowaway Corinna. Other drivers include Wendy Patrakas, an abused wife competing for the safety of her newborn baby; Winston, who hopes to make a break from his shady past; and Hurricane Katrina survivors Ivy, Leigh and Susan."
1402,2148,tt0770762,tvSeries,Happy Tree Friends,Happy Tree Friends,0,2000,2016,74,"Animation,Comedy,Horror",7.0,17882,7,Happy Tree Friends,IN,en,imdbDisplay,\N,0,Woodland creatures have graphic and violent adventures.
1403,2150,tt0770828,movie,Man of Steel,Man of Steel,0,2013,\N,143,"Action,Adventure,Sci-Fi",7.1,789551,24,Man of Steel,IN,en,imdbDisplay,\N,0,A young man from a very affluent family seeks the gift of faith.
1404,2151,tt0772137,tvSeries,The Game,The Game,0,2006,2015,21,"Comedy,Drama,Romance",6.8,4641,14,The Game,IN,en,imdbDisplay,\N,0,"Tensions are high in 1972 London when the Soviets devise Operation Glass, a plot to bring down Britain, while the world's superpowers engage in a war fought mainly by spies. A defecting KGB officer contacts MI5 with details of the plan. In response, MI5's leader assembles a secret team, including enigmatic agent Joe Lambe, to investigate and stop the threat to Britain and the rest of the world. Among its tasks is to locate enemy sleeper agents across the U.K. before they can carry out their roles in the conspiracy."
1405,2152,tt0772145,tvSeries,Wolverine and the X-Men,Wolverine and the X-Men,0,2008,2009,23,"Action,Adventure,Animation",8.0,11449,12,Wolverine and the X-Men,IN,en,imdbDisplay,\N,0,Wolverine reunites the X-Men to battle against the injustices of the Mutant Response Division (MRD).
1406,2153,tt0773262,tvSeries,Dexter,Dexter,0,2006,2013,53,"Crime,Drama,Mystery",8.7,741062,7,Dexter,IN,en,imdbDisplay,\N,0,"Dexter Morgan is a Miami-based blood splatter expert who doesn't just solve murders; he commits them too. In fact, he's a serial killer -- but he only murders the guilty, so he feels justified with his lifestyle choices. His policewoman sister and his cop co-workers have no idea Dexter lives a double life; however, adoptive father Harry knows his secret, and does, in fact, help Dexter hone his ""skills."" It's a unique brand of justice for which charming Dexter feels a psychological hunger."
1407,2155,tt0775529,movie,The Savages,The Savages,0,2007,\N,114,"Comedy,Drama",7.1,38159,11,The Savages,IN,en,imdbDisplay,\N,0,A group of girls is united by a common goal to get justice for crimes committed by a corrupt family.
1408,2156,tt0780362,tvMiniSeries,Jane Eyre,Jane Eyre,0,2006,2006,230,"Drama,Romance",8.3,21723,8,Jane Eyre,IN,en,imdbDisplay,\N,0,"After surviving the cruel regime of a harsh charity school, orphan Jane becomes governess at Thornfield Hall in this dramatization of Charlotte Bronte's classic novel. Jane falls for her enigmatic master, but her peaceful existence is shattered when strange events in the night threaten danger."
1409,2157,tt0780438,tvSeries,Tom and Jerry Tales,Tom and Jerry Tales,0,2006,2008,23,"Animation,Comedy,Family",7.4,3514,19,Tom and Jerry Tales,IN,en,imdbDisplay,\N,0,"Forever plotting against one another, Tom and Jerry are up to their usual antics. The cat and mouse pull pranks, gags and get into escapades all around the globe."
1410,2158,tt0780504,movie,Drive,Drive,0,2011,\N,100,"Action,Drama",7.8,668149,9,Drive,IN,en,imdbDisplay,\N,0,A bionic man (Mark Dacascos) from Hong Kong enlists help from a hostage (Kadeem Hardison) and a woman (Brittany Murphy) to evade villains in San Francisco.
1411,2159,tt0780516,movie,Flawless,Flawless,0,2007,\N,108,"Crime,Drama,Thriller",6.7,25589,26,Flawless,IN,en,imdbDisplay,\N,0,"A former security guard, Walt Koontz (Robert De Niro), experiences a severe stroke, and must begin physical therapy after leaving the hospital. Part of Walt's recovery program includes regaining his speech by taking singing lessons, and he gets paired with Rusty (Philip Seymour Hoffman), a vocal instructor and neighbor. Walt, however, is extremely homophobic, and Rusty is flamboyantly gay and awaiting gender reassignment surgery, so the two don't have an easy start to their relationship."
1412,2160,tt0780536,movie,In Bruges,In Bruges,0,2008,\N,107,"Comedy,Crime,Drama",7.9,446888,45,In Bruges,IN,en,imdbDisplay,\N,0,"After a particularly difficult job, hit men Ray (Colin Farrell) and Ken (Brendan Gleeson) head to Belgium to hide out until things cool down. Ray hates the medieval city they land in, but Ken finds its beauty and peacefulness enchanting. Their experiences become increasingly surreal and possibly life-changing as they encounter tourists, locals, an American dwarf and a potential romance for Ray."
1413,2161,tt0783233,movie,Atonement,Atonement,0,2007,\N,123,"Drama,Mystery,Romance",7.8,288533,30,Atonement,IN,en,imdbDisplay,\N,0,"This sweeping English drama, based on the book by Ian McEwan, follows the lives of young lovers Cecilia Tallis (Keira Knightley) and Robbie Turner (James McAvoy). When the couple are torn apart by a lie constructed by Cecilia's jealous younger sister, Briony (Saoirse Ronan), all three of them must deal with the consequences. Robbie is the hardest hit, since Briony's deception results in his imprisonment, but hope for Cecilia and her beau increases when their paths cross during World War II."
1414,2162,tt0783612,tvMiniSeries,When the Levees Broke: A Requiem in Four Acts,When the Levees Broke: A Requiem in Four Acts,0,2006,2007,255,Documentary,8.5,4690,8,When the Levees Broke: A Requiem in Four Acts,IN,en,imdbDisplay,\N,0,"Residents of New Orleans discuss how they were impacted by the devastation of Hurricane Katrina, and how the city is rising from the ashes."
1415,2163,tt0783640,movie,The Last Full Measure,The Last Full Measure,0,2019,\N,116,"Drama,War",6.8,13089,5,The Last Full Measure,IN,en,imdbDisplay,\N,0,Airman William H. Pitsenbarger Jr. is awarded the Medal of Honor for his service and actions on the battlefield.
1416,2164,tt0787475,movie,Hot Rod,Hot Rod,0,2007,\N,88,"Comedy,Sport",6.7,90496,7,Hot Rod,IN,en,imdbDisplay,\N,0,"For Rod Kimball (Andy Samberg), performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank (Ian McShane), who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt."
1417,2165,tt0787523,movie,Towelhead,Nothing Is Private,0,2007,\N,124,Drama,6.9,11903,6,Nothing Is Private,IN,en,imdbDisplay,\N,0,"At age 13, Jasira (Summer Bishil) lives with her mother, Gail (Maria Bello), in upstate New York, but is then sent to live with her rigid, emotionally distant Lebanese father, Rifat (Peter Macdissi), in Houston. Jasira, who is struggling with her emerging sexuality, finds herself subjected to the taunts of racist schoolmates, the sexual advances of her new boyfriend, Thomas (Eugene Jones), and the inappropriate yet titillating attentions of handsome, married neighbor Mr. Vuoso (Aaron Eckhart)."
1418,2166,tt0787524,movie,The Man Who Knew Infinity,The Man Who Knew Infinity,0,2015,\N,108,"Biography,Drama",7.2,59638,6,The Man Who Knew Infinity,IN,en,imdbDisplay,\N,0,"In 1913, brilliant East Indian mathematician Srinivasa Ramanujan (Dev Patel) travels to Trinity College in England to work with professor G.H. Hardy (Jeremy Irons)."
1419,2167,tt0787985,tvSeries,Robin Hood,Robin Hood,0,2006,2009,60,"Action,Adventure,Comedy",7.4,16985,32,Robin Hood,IN,en,imdbDisplay,\N,0,"Upon his return to England after fighting alongside King Richard in the Third Crusade, Robin Hood's pursuit of justice and romance are hampered by handsome Sir Guy of Gisborne, the sheriff's second-in-command, who is equal parts brutal and ambitious. Robin's plight is made even more serious when the corrupt Sheriff of Nottingham declares him an outlaw, forcing Robin to take refuge in nearby Sherwood Forest, where he assembles a band of companions that include his former manservant, Much, along with Little John and Allan A Dale."
1420,2168,tt0790663,movie,The First Grader,The First Grader,0,2010,\N,103,"Biography,Drama,Romance",7.4,4795,16,The First Grader,IN,en,imdbDisplay,\N,0,An 84-year-old Kenyan (Oliver Litondo) fights for his right to attend school for the first time and receive the education he previously could not afford.
1421,2169,tt0790724,movie,Jack Reacher,Jack Reacher,0,2012,\N,130,"Action,Mystery,Thriller",7.0,351130,7,Jack Reacher,IN,en,imdbDisplay,\N,0,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The man's interrogation yields one statement: Get Jack Reacher (Tom Cruise). Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney (Rosamund Pike). However, the more Reacher delves into the case, the less clear-cut it appears."
1422,2170,tt0790772,tvSeries,Rules of Engagement,Rules of Engagement,0,2007,2013,22,"Comedy,Romance",7.3,34805,20,Rules of Engagement,IN,en,imdbDisplay,\N,0,"The different phases of male-female relationships are examined as seen through the eyes of young couple Adam and Jennifer. Their friends include longtime-married pair Jeff and Audrey, and a womanizing singleton named Russell. As Adam and Jennifer find out, the often-confusing stages of a relationship can seem like a ride on a roller coaster: Folks can describe it to you, but you have to take the trip for yourself to know what it's like."
1423,2172,tt0791205,tvSeries,Ergo Proxy,Ergo Proxy,0,2006,2006,25,"Action,Adventure,Animation",7.9,15278,19,Ergo Proxy,IN,en,imdbDisplay,\N,0,Robots and humans coexist in harmony after an apocalypse.
1424,2174,tt0795176,tvMiniSeries,Planet Earth,Planet Earth,0,2006,2006,538,Documentary,9.4,214367,24,Planet Earth,IN,en,imdbDisplay,\N,0,The planet and its wildlife.
1425,2175,tt0795368,movie,Death at a Funeral,Death at a Funeral,0,2007,\N,90,Comedy,7.3,118590,8,Death at a Funeral,IN,en,imdbDisplay,\N,0,"Chaos reigns when members of a dysfunctional family gather to bury a loved one. Son Daniel (Matthew MacFadyen) anticipates a face-off with his famous brother Robert (Rupert Graves), while cousin Martha (Daisy Donovan) and her fiance Simon (Alan Tudyk) are desperate to make a good impression on her father. In the midst of the family turmoil, a mystery guest threatens to bring the deceased's skeleton out of the closet."
1426,2176,tt0795421,movie,Mamma Mia!,Mamma Mia!,0,2008,\N,108,"Comedy,Musical,Romance",6.5,258133,15,Mamma Mia!,IN,en,imdbDisplay,\N,0,"Donna (Meryl Streep), an independent hotelier in the Greek islands, is preparing for her daughter's wedding with the help of two old friends. Meanwhile Sophie, the spirited bride, has a plan. She secretly invites three men from her mother's past in hope of meeting her real father and having him escort her down the aisle on her big day."
1427,2177,tt0795434,movie,Namastey London,Namastey London,0,2007,\N,128,"Comedy,Drama,Romance",7.1,22452,1,Namastey London,IN,en,imdbDisplay,\N,0,A concerned father (Rishi Kapoor) tries to keep his wayward daughter (Katrina Kaif) in line by making her leave London and marry a Punjabi farmer (Akshay Kumar).
1428,2178,tt0796264,tvSeries,Eureka,Eureka,0,2006,2012,60,"Adventure,Comedy,Drama",7.9,56108,23,Eureka,IN,en,imdbDisplay,\N,0,"In the years since World War II, the U.S. government has been relocating the world's geniuses (and their families) to the Pacific Northwest town of Eureka. Daily life there shifts between amazing innovation and total chaos. U.S. Marshal Jack Carter learns this first-hand when his car breaks down in Eureka, stranding him among the town's eccentric citizens. When they unleash a scientific creation still unknown to the outside world, it's up to Carter to restore order. Subsequently, he's let in on one of America's best-kept secrets."
1429,2180,tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,"Action,Adventure,Sci-Fi",7.9,611279,56,Star Trek,IN,en,imdbDisplay,\N,0,"Aboard the USS Enterprise, the most-sophisticated starship ever built, a novice crew embarks on its maiden voyage. Their path takes them on a collision course with Nero (Eric Bana), a Romulan commander whose mission of vengeance threatens all mankind. If humanity would survive, a rebellious young officer named James T. Kirk (Chris Pine) and a coolly logical Vulcan named Spock (Zachary Quinto) must move beyond their rivalry and find a way to defeat Nero before it is too late."
1430,2181,tt0796368,movie,Talk to Me,Talk to Me,0,2007,\N,118,"Biography,Drama,History",7.3,10097,14,Talk to Me,IN,en,imdbDisplay,\N,0,"Outspoken ex-convict Ralph ""Petey"" Greene (Don Cheadle) talks his way onto the air at a white-owned radio station in 1960s Washington, D.C. Fueled by the new music and social upheaval of the times, he courts controversy while becoming the voice of the black movement."
1431,2182,tt0799922,tvSeries,Wizards of Waverly Place,Wizards of Waverly Place,0,2007,2012,22,"Adventure,Comedy,Drama",6.9,36375,40,Wizards of Waverly Place,IN,en,imdbDisplay,\N,0,"Alex Russo and her brothers Justin and Max come from a long line of wizards and now must master their newly learned powers or lose them forever. Their dad, Jerry, gave up his powers when he married their mortal mom. The family business is Waverly Sub Station in busy Manhattan, and the three young wizards get into all sorts of crazy situations as they grow up facing typical teen challenges like school, friends, family and magic."
1432,2183,tt0800039,movie,Forgetting Sarah Marshall,Forgetting Sarah Marshall,0,2008,\N,111,"Comedy,Drama,Romance",7.1,293903,34,Forgetting Sarah Marshall,IN,en,imdbDisplay,\N,0,"Struggling musician Peter Bretter (Jason Segel) is better-known as the boyfriend of TV star Sarah Marshall (Kristen Bell). After she unceremoniously dumps him, he feels lost and alone but makes a last-ditch bid to get over it by going to Hawaii. However, she and her new boyfriend (Russell Brand) are there in the same hotel."
1433,2184,tt0800080,movie,The Incredible Hulk,The Incredible Hulk,0,2008,\N,112,"Action,Adventure,Sci-Fi",6.6,507358,14,The Incredible Hulk,IN,en,imdbDisplay,\N,0,"Scientist Bruce Banner (Edward Norton) desperately seeks a cure for the gamma radiation that contaminated his cells and turned him into The Hulk. Cut off from his true love Betty Ross (Liv Tyler) and forced to hide from his nemesis, Gen. Thunderbolt Ross (William Hurt), Banner soon comes face-to-face with a new threat: a supremely powerful enemy known as The Abomination (Tim Roth)."
1434,2185,tt0800369,movie,Thor,Thor,0,2011,\N,115,"Action,Fantasy",7.0,872495,17,Thor,IN,en,imdbDisplay,\N,0,"As the son of Odin (Anthony Hopkins), king of the Norse gods, Thor (Chris Hemsworth) will soon inherit the throne of Asgard from his aging father. However, on the day that he is to be crowned, Thor reacts with brutality when the gods' enemies, the Frost Giants, enter the palace in violation of their treaty. As punishment, Odin banishes Thor to Earth. While Loki (Tom Hiddleston), Thor's brother, plots mischief in Asgard, Thor, now stripped of his powers, faces his greatest threat."
1435,2186,tt0800956,movie,Life in a Metro,Life in a Metro,0,2007,\N,132,"Comedy,Drama,Romance",7.4,12449,4,Metro,IN,en,\N,short title,0,"Talented dancer Shikha has sacrificed her education and possibilities for the sake of her marriage and young daughter, but now finds herself in a burnt-out relationship. While her husband's attentions are drawn to a girl in his office, Shikha is attracted to a struggling theater artist. The fortunes of the characters ultimately link through a cunning Rahul who decides to rent out to couples having affairs."
1436,2187,tt0801425,tvSeries,Day Break,Day Break,0,2006,2007,60,"Action,Drama,Sci-Fi",8.1,8328,24,Day Break,IN,en,imdbDisplay,\N,0,"Detective Brett Hopper is having a particularly bad day, one where absolutely nothing will go his way. If that wasn't bad enough, it looks like Hopper is repeating the same day over and over again. On this day, he's been accused of murdering Assistant D.A. Alberto Garza -- and no one believes his rock-solid alibi. He winds up on the run, where he finds out that his loved ones are in danger, too. The next morning, the trauma starts all over again. In order to break the cycle, Hopper needs to find out who framed him and why -- effectively solving the mystery surrounding Garza's death."
1437,2189,tt0803096,movie,Warcraft,Warcraft,0,2016,\N,123,"Action,Adventure,Fantasy",6.7,271238,1,Warcraft,IN,en,imdbDisplay,\N,0,"Looking to escape from his dying world, the orc shaman Gul'dan utilizes dark magic to open a portal to the human realm of Azeroth. Supported by the fierce fighter Blackhand, Gul'dan organizes the orc clans into a conquering army called the Horde. Uniting to protect Azeroth from these hulking invaders are King Llane, the mighty warrior Anduin Lothar (Travis Fimmel) and the powerful wizard Medivh. As the two races collide, leaders from each side start to question if war is the only answer."
1438,2190,tt0804484,tvSeries,Foundation,Foundation,0,2021,\N,60,"Drama,Sci-Fi",7.5,67598,21,Foundation,IN,en,imdbDisplay,\N,0,"Based on the award-winning novels by Isaac Asimov, this story chronicles a band of exiles on their monumental journey to save humanity and rebuild civilization amid the fall of the Galactic Empire."
1439,2191,tt0804497,movie,It's Kind of a Funny Story,It's Kind of a Funny Story,0,2010,\N,101,"Comedy,Drama,Romance",7.1,145842,38,It's Kind of a Funny Story,IN,en,imdbDisplay,\N,0,"Stressed by adolescence, 16-year-old Craig Gilner (Keir Gilchrist) checks himself into a mental-health clinic. Unfortunately, the youth wing is closed, so he must spend his mandated five-day stay with adults. One of them, Bobby (Zach Galifianakis), quickly becomes his mentor -- and protege, while Craig finds himself drawn to a fellow teen, Noelle (Emma Roberts), who just may be the cure he needs to forget an unrequited crush."
1440,2192,tt0804503,tvSeries,Mad Men,Mad Men,0,2007,2015,47,Drama,8.7,248857,17,Mad Men,IN,en,imdbDisplay,\N,0,"In 1960s New York, alpha male Don Draper struggles to stay on top of the heap in the high-pressure world of Madison Avenue advertising firms. Aside from being one of the top ad men in the business, Don is also a family man, the father of young children."
1441,2193,tt0805184,movie,Bhagam Bhag,Bhagam Bhag,0,2006,\N,157,"Comedy,Drama,Mystery",6.6,14136,4,Bhagam Bhag,IN,en,imdbDisplay,\N,0,Two theatre artists vying for the lead role set out to find an actress to score winning points with the director. All hell breaks loose as they are caught in the helter-skelter of drug dealings and murder mysteries.
1442,2194,tt0805526,movie,Facing the Giants,Facing the Giants,0,2006,\N,111,"Drama,Fantasy,Sport",6.5,17620,13,Facing the Giants,IN,en,imdbDisplay,\N,0,"Grant Taylor, a Christian high-school football coach (Alex Kendrick), gets some very bad news. Besides his and his wife's (Shannen Fields) infertility problems, he faces the attempt of local parents to force the school to replace him. His team, the Shiloh Eagles, has never had a winning season in the six years that he has coached the boys. Following a visitor's message, Grant tries to inspire his team to use faith to conquer fear and opposing teams."
1443,2196,tt0805663,tvSeries,Jericho,Jericho,0,2006,2008,45,"Action,Drama,Mystery",7.9,57598,29,Jericho,IN,en,imdbDisplay,\N,0,"A nuclear mushroom cloud appears on the horizon -- and for the residents of Jericho, a small Kansas town, it could mean they're the only Americans left alive. Fear of the unknown propels Jericho into mayhem, causing the town to come apart at the seams. Secrets are revealed, personal agendas take over and even the most sensible people become paranoid. But even in a time of crisis, some folks will find an inner strength they never knew existed, causing them to emerge as the most unlikeliest of heroes. As the citizens slowly rebuild Jericho, however, they also find themselves in a bitter turf war with the residents of another town, New Bern."
1444,2197,tt0805664,tvSeries,Men in Trees,Men in Trees,0,2006,2008,45,"Comedy,Drama,Romance",7.3,5595,2,Men in Trees,IN,en,imdbDisplay,\N,0,"Relationship expert and author Marin Frist knows what women should look for and what to avoid when trying to find the perfect man. But like most experts, she fails to follow her own advice. On the way to a speaking engagement in Alaska, Marin finds out that her fiance has been cheating on her. If that wasn't bad enough, she winds up stranded in a small town filled with what she doesn't need -- single men. With the support of her friends and publisher back home, Marin realizes she's been living with a blindfold on, never taking the moment to stop and breathe."
1445,2198,tt0805666,tvSeries,Shark,Shark,0,2006,2008,60,"Crime,Drama,Mystery",7.1,11896,17,Shark,IN,en,imdbDisplay,\N,0,"Sebastian Stark is a charismatic defense attorney who -- after a surprising outcome in one of his tabloid-fodder cases, as well as a personal epiphany -- decides to quit his practice and become a prosecutor with the L.A. District Attorney's High Profile Crime Unit. His new boss, D.A. Jessica Devlin, despises Stark's ruthless strategies, but that doesn't stop Stark from hiring a team of young prosecutors he hopes to pass his tactics on to. Though Stark is seeking to redeem himself, he has no intention of stopping his underhanded approach just because he's working for the ""good guys."""
1446,2199,tt0805668,tvSeries,Traveler,Traveler,0,2007,2007,45,"Action,Crime,Mystery",8.1,4709,15,Traveler,IN,en,imdbDisplay,\N,0,"Tyler, Jay and Will are friends who've spent the last few years in grad school together. Soon, they'll depart on a summer trip -- but a prank involving roller-blading through one of New York's most famous museums makes Jay and Tyler prime suspects in a terrorist bombing that destroys the museum mere seconds later. The pair hopes Will will be able to clear up the situation, but he's nowhere to be found. Worse still, Jay and Tyler can't actually prove Will ever existed; in every photo taken over the past two years, Will has managed to cover his face. Are these guys pawns in a conspiracy? Will their own government be willing to help them? And can they solve the mystery while avoiding detection by the FBI? The show often flashes back to when the trio first met."
